aa_eleicao;sg_uf;cd_cargo;nm_cargo;qt_votos_validos_qe;qt_vagas_qe;vr_quociente_eleitoral;tx_legenda_tot;qt_vagas_qp_preenchida;qt_vagas_media_qp;qt_vagas_qp_obtida;qt_votos_coligacao_qp
2022;AL;7;Deputado Estadual;1658145;27;61413;PP;3;1;3;242341
2022;SP;6;Deputado Federal;23375585;70;333937;AVANTE;0;0;0;241814
2022;GO;7;Deputado Estadual;3434510;41;83769;PL;2;1;2;241138
2022;RJ;7;Deputado Estadual;8492935;70;121328;PROS;1;1;1;240658
2022;PA;7;Deputado Estadual;4538980;41;110707;PSD;2;0;2;239646
2022;SE;6;Deputado Federal;1191617;8;148952;UNIÃO;1;1;1;239275
2022;MG;7;Deputado Estadual;11076602;77;143852;PSB;1;0;1;237408
2022;SC;7;Deputado Estadual;4004036;40;100101;PODE;2;1;2;237137
2022;PB;6;Deputado Federal;2209355;12;184113;PSB;1;0;1;237099
2022;SC;7;Deputado Estadual;4004036;40;100101;CIDADANIA / PSDB;2;0;2;236317
2022;MA;6;Deputado Federal;3706498;18;205917;PSC;1;0;1;235561
2022;AM;6;Deputado Federal;1976477;8;247060;PL;0;1;0;234488
2022;SP;7;Deputado Estadual;23245861;94;247296;PATRIOTA;0;0;0;234367
2022;AL;6;Deputado Federal;1650763;9;183418;PT / PV / PC do B;1;1;1;234310
2022;PB;7;Deputado Estadual;2243483;36;62319;PP;3;1;3;233790
2022;RJ;6;Deputado Federal;8575988;46;186435;PDT;1;0;1;232718
2022;MA;7;Deputado Estadual;3691036;42;87882;PATRIOTA;2;1;2;232583
2022;MA;6;Deputado Federal;3706498;18;205917;PATRIOTA;1;0;1;231636
2022;MA;6;Deputado Federal;3706498;18;205917;PSD;1;0;1;230912
2022;PA;7;Deputado Estadual;4538980;41;110707;REPUBLICANOS;2;0;2;229019
2022;SP;6;Deputado Federal;23375585;70;333937;PATRIOTA;0;0;0;228947
2022;SP;7;Deputado Estadual;23245861;94;247296;PTB;0;0;0;226704
2022;CE;6;Deputado Federal;5108239;22;232193;PP;0;1;0;225463
2022;PE;6;Deputado Federal;4969863;25;198795;AVANTE;1;0;1;225100
2022;MA;6;Deputado Federal;3706498;18;205917;PODE;1;0;1;222975
2022;BA;7;Deputado Estadual;7937716;63;125995;PDT;1;0;1;222709
2022;RJ;7;Deputado Estadual;8492935;70;121328;PSB;1;1;1;221944
2022;DF;8;Deputado Distrital;1662497;24;69271;PL;3;1;3;221654
2022;ES;6;Deputado Federal;2084430;10;208443;PL;1;0;1;220995
2022;MG;7;Deputado Estadual;11076602;77;143852;PROS;1;0;1;218897
2022;MS;6;Deputado Federal;1374808;8;171851;PL;1;1;1;218427
2022;ES;6;Deputado Federal;2084430;10;208443;PT / PV / PC do B;1;1;1;217787
2022;MT;7;Deputado Estadual;1728127;24;72005;MDB;3;1;3;217756
2022;SP;6;Deputado Federal;23375585;70;333937;PTB;0;0;0;217212
2022;PR;7;Deputado Estadual;6058064;54;112186;PROS;1;1;1;216803
2022;RS;6;Deputado Federal;6149822;31;198381;UNIÃO;1;0;1;215367
2022;PA;7;Deputado Estadual;4538980;41;110707;PDT;1;1;1;215259
2022;RJ;6;Deputado Federal;8575988;46;186435;SOLIDARIEDADE;1;0;1;214441
2022;RJ;6;Deputado Federal;8575988;46;186435;PSB;1;0;1;214135
2022;PR;6;Deputado Federal;6038642;30;201288;PROS;1;0;1;214036
2022;MG;7;Deputado Estadual;11076602;77;143852;DC;1;0;1;211746
2022;PB;7;Deputado Estadual;2243483;36;62319;CIDADANIA / PSDB;3;0;3;210763
2022;GO;7;Deputado Estadual;3434510;41;83769;PP;2;1;2;209375
2022;SC;6;Deputado Federal;3969848;16;248115;PP;0;0;0;209318
2022;MA;7;Deputado Estadual;3691036;42;87882;PSD;2;0;2;207320
2022;PA;6;Deputado Federal;4521516;17;265972;PTB;0;0;0;206332
2022;TO;7;Deputado Estadual;834311;24;34763;REPUBLICANOS;5;2;5;205631
2022;MS;6;Deputado Federal;1374808;8;171851;PT / PV / PC do B;1;1;1;205316
2022;PB;7;Deputado Estadual;2243483;36;62319;UNIÃO;3;0;3;203446
2022;PB;6;Deputado Federal;2209355;12;184113;UNIÃO;1;0;1;203364
2022;MA;7;Deputado Estadual;3691036;42;87882;MDB;2;0;2;202326
2022;SE;7;Deputado Estadual;1216425;24;50684;PSD;3;2;3;202210
2022;AL;7;Deputado Estadual;1658145;27;61413;UNIÃO;3;0;3;201905
2022;PR;7;Deputado Estadual;6058064;54;112186;PODE;1;1;1;201720
2022;ES;6;Deputado Federal;2084430;10;208443;REPUBLICANOS;0;2;0;200917
2022;PA;6;Deputado Federal;4521516;17;265972;CIDADANIA / PSDB;0;0;0;200864
2022;SP;7;Deputado Estadual;23245861;94;247296;AVANTE;0;0;0;200838
2022;SE;6;Deputado Federal;1191617;8;148952;PSD;1;1;1;199933
2022;AM;7;Deputado Estadual;1968109;24;82005;PSC;2;1;2;199005
2022;PE;6;Deputado Federal;4969863;25;198795;SOLIDARIEDADE;0;1;0;196762
2022;RS;7;Deputado Estadual;6155799;55;111924;PODE;1;1;1;196671
2022;BA;7;Deputado Estadual;7937716;63;125995;PSC;1;0;1;195628
2022;RJ;7;Deputado Estadual;8492935;70;121328;PTB;1;0;1;195205
2022;RO;6;Deputado Federal;869148;8;108643;UNIÃO;1;3;1;195169
2022;BA;6;Deputado Federal;7958431;39;204062;PSB;0;1;0;194702
2022;ES;6;Deputado Federal;2084430;10;208443;PSB;0;1;0;194539
2022;PB;6;Deputado Federal;2209355;12;184113;PT / PV / PC do B;1;0;1;194362
2022;ES;6;Deputado Federal;2084430;10;208443;PODE;0;2;0;193999
2022;CE;7;Deputado Estadual;5054996;46;109891;REPUBLICANOS;1;1;1;193522
2022;RS;6;Deputado Federal;6149822;31;198381;PSB;0;1;0;193200
2022;MG;7;Deputado Estadual;11076602;77;143852;PODE;1;0;1;192418
2022;PB;7;Deputado Estadual;2243483;36;62319;PL;3;0;3;191274
2022;PA;6;Deputado Federal;4521516;17;265972;PSB;0;0;0;190408
2022;MA;6;Deputado Federal;3706498;18;205917;REPUBLICANOS;0;1;0;189824
